               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  96,            0.032315,            0.016124,             0.03606,             0.64752,             0.58226,             0.64497,             0.34899,            0.032618,           0.0058501,            0.027516,             0.00373,             0.00373,             0.00373
                  97,            0.032357,            0.016123,            0.035847,             0.64466,             0.58263,              0.6454,              0.3492,            0.032632,           0.0058481,            0.027514,            0.003664,            0.003664,            0.003664
                  98,            0.032063,            0.015927,            0.036073,              0.6456,             0.58235,             0.64524,             0.34943,            0.032637,           0.0058462,            0.027477,            0.003598,            0.003598,            0.003598
                  99,            0.032118,            0.016301,            0.036593,             0.64275,             0.58216,             0.64632,             0.34993,            0.032629,            0.005845,            0.027438,            0.003532,            0.003532,            0.003532
                 100,            0.032184,            0.016034,            0.036003,             0.64138,             0.58344,             0.64674,             0.34921,            0.032619,           0.0058453,            0.027429,            0.003466,            0.003466,            0.003466
                 101,             0.03221,            0.016166,            0.035563,             0.64093,             0.58364,             0.64649,             0.35006,            0.032617,           0.0058447,            0.027417,              0.0034,              0.0034,              0.0034
                 102,            0.032115,            0.016003,            0.035633,             0.63096,               0.597,             0.64633,             0.34964,            0.032617,           0.0058431,            0.027419,            0.003334,            0.003334,            0.003334
                 103,            0.032075,              0.0161,            0.035595,             0.63495,             0.59214,             0.64621,              0.3493,            0.032628,           0.0058423,            0.027417,            0.003268,            0.003268,            0.003268
                 104,            0.031876,             0.01599,            0.035633,             0.62199,             0.60722,             0.64662,             0.34941,            0.032625,           0.0058417,            0.027407,            0.003202,            0.003202,            0.003202
                 105,            0.031696,              0.0159,            0.035207,              0.6218,             0.60885,             0.64705,             0.35022,             0.03261,           0.0058415,            0.027393,            0.003136,            0.003136,            0.003136
                 106,            0.031815,            0.016073,            0.035514,             0.62355,             0.61023,              0.6479,             0.35126,            0.032609,           0.0058409,            0.027386,             0.00307,             0.00307,             0.00307
                 107,            0.031853,               0.016,            0.035802,             0.63418,             0.60513,             0.64881,             0.35103,            0.032613,            0.005839,            0.027373,            0.003004,            0.003004,            0.003004
                 108,             0.03165,            0.015965,            0.034893,             0.64967,             0.58961,             0.65023,             0.35144,            0.032605,           0.0058385,             0.02737,            0.002938,            0.002938,            0.002938
